Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000214026	NA	NA	19.9159027141647	19.7219402663157	NA	NA	19.6607689158895	19.3492725886574	19.7775282351522	19.797139036849	NA	NA	NA	17.986653135937	19.5007679818586	18.6856179963252
NA	NA	17.9801953738622	18.0294490033761	18.8142820400472	NA	NA	17.992971518478	18.16511308978	19.1019038790037	18.4194664705343	NA	18.6483575820097	19.7745554439893	NA	NA	19.4248879807975
NA	20.2146606274992	NA	21.2077674343564	20.5551545417239	20.3870075838872	19.6248704039309	NA	NA	20.3922587181729	20.3545550198909	NA	20.4093494978404	20.0669720999218	NA	20.8949687070409	NA
ENSG00000087460	NA	20.0959687043486	NA	20.0018204911446	19.6027351058972	19.6584520885521	NA	20.0678912230734	20.5514979934403	20.4617392177188	NA	20.7473079314908	NA	NA	20.8151111886375	20.1470607993152
NA	19.7821279899469	20.0959687043486	NA	NA	19.6027351058972	NA	19.9605619812037	NA	NA	20.4617392177188	20.0969981897484	20.7473079314908	20.7351262715962	NA	NA	20.1470607993152
ENSG00000002586	NA	20.1180691269687	NA	18.9077122093708	18.4179431418676	19.6825351670577	NA	NA	18.265358655271	NA	NA	19.0201986725794	NA	19.7059698046375	NA	19.9725311171027
NA	NA	23.2786672399464	NA	23.3034061866546	NA	NA	22.6013663808208	21.6968062596572	NA	23.2080950116447	23.3194824937101	NA	NA	22.8782994294645	23.1717912960647	NA
ENSG00000173145	21.607926256057	20.5546862710713	NA	20.2942348251724	NA	NA	19.1109012621643	20.3608899392656	NA	21.2466710224018	20.7426285170643	NA	NA	19.3206947962489	NA	19.4664668516229
NA	19.1791072620291	NA	NA	NA	NA	19.9666293662293	20.2055021385911	19.8113684213455	20.5973251520036	17.2726662309348	20.3542321609792	19.560463453109	NA	19.7703993504871	19.6280075899799	20.0293141909627
NA	23.3018723687505	23.1227995641758	NA	22.8836411594993	22.2010506174189	NA	22.1932798982009	22.3819484493952	NA	NA	21.9908892329207	22.2850330174796	22.0722817952768	21.4941407147308	NA	NA
NA	20.567833558746	NA	20.4423279908763	20.7963787148915	NA	20.3026255376744	19.4699478042648	NA	21.0421322658782	NA	NA	NA	20.2388805083884	NA	NA	NA
NA	23.7891515247083	23.828324787799	23.7208804949693	NA	23.972110363187	NA	23.3611845335259	22.7411476483932	23.6572006744625	23.8220152620041	NA	23.689658503526	23.8080364020305	NA	23.0121409644853	NA
ENSG00000137710	NA	NA	NA	NA	NA	NA	24.5810115844117	24.4024958267993	25.0849280599615	NA	24.8349925352129	24.9088026922545	24.7231742940287	24.5316598782094	NA	NA
NA	NA	18.8024027665895	18.7386266778715	18.3340288110389	19.1733843519207	NA	NA	19.1860900525256	17.9643747144074	NA	17.8188442712305	18.3861235150561	NA	NA	NA	19.3296124165091
NA	16.8210265361162	NA	17.5853440224446	17.6680955175204	16.9642054733912	NA	18.0684948996114	NA	NA	18.7240741350342	NA	NA	NA	16.2376581186797	17.7250067110466	NA
NA	NA	22.5013998794288	NA	22.4616143339258	22.5405670055008	22.6985876790556	22.418411633764	21.7751102942296	22.812175738348	22.7846460271164	22.21335582614	NA	22.0696293903235	22.0010988944865	NA	21.6526786978575
NA	24.4291170692066	NA	NA	24.3054951320085	NA	23.7829678240878	23.1224204355371	NA	24.7228096153128	24.4737646995202	24.9069236158996	24.5440980026527	NA	NA	23.8373045469912	NA
ENSG00000171262	NA	21.0776372108131	NA	21.1143879709364	NA	NA	20.5232479862599	19.4184785487603	21.0287073791595	NA	20.8167524356445	NA	NA	19.68090545852	NA	19.5173579781778
NA	NA	19.1352333186093	19.055261249152	NA	NA	NA	17.7982945922735	NA	20.0053888026158	19.7320315835083	19.2479923947026	19.315861568578	18.6669174395101	NA	17.6984605077354	NA
ENSG00000171566	NA	NA	NA	16.7331742467278	18.4108405272118	NA	20.5559034587693	NA	20.6575278038334	NA	20.2039501474172	20.0380508997942	19.4194664705343	18.3357305399278	19.9659251659708	NA
ENSG00000100353	22.523367647442	23.3815260529522	NA	23.8376895223213	NA	21.5056700774136	22.1417392049643	20.0784844174114	NA	23.4730834087849	23.3167234662085	NA	22.6463855558278	NA	NA	22.8418023408413
NA	18.2758062355754	21.4171499626829	NA	NA	NA	NA	20.4316567450624	NA	NA	NA	21.0966765544687	NA	NA	21.881439625134	22.4536243184851	21.4901790782618
NA	21.3922587181729	20.5656971268492	NA	NA	NA	19.9373278386129	20.4279797857997	NA	NA	21.6350236959147	NA	21.1396487717925	21.4789196817798	20.1354587964708	NA	20.5472673510133
ENSG00000204843	21.5580077060215	22.0176729405675	NA	22.1260654197789	21.073851292779	20.8788232702922	21.3975430338282	21.0429338002518	22.0142371002958	21.1630624200345	22.1825604512584	NA	21.4086759586375	21.3835840685024	NA	NA
ENSG00000133119	NA	21.5060576512205	NA	20.2716180421773	20.9136403495223	21.4331350991497	NA	NA	NA	21.7429984968457	21.6718053698171	NA	20.3653826537822	NA	NA	20.5066872366727
NA	NA	NA	26.0839953922053	25.8805431236039	25.8937936666838	25.8749507765437	25.7148156667023	NA	26.0409082320672	25.996839282706	NA	NA	NA	25.7892261655258	NA	NA
NA	18.4634764784747	NA	18.3776341920487	NA	NA	NA	NA	16.0925713423353	NA	17.9064208918632	18.4555118482802	18.2418156098343	NA	16.1905191826927	NA	NA
NA	24.3407558164895	NA	NA	23.9457452998849	NA	23.8214314506894	NA	NA	24.5762901165422	24.1445269320525	24.4189262846357	24.3852178353675	NA	NA	NA	24.0031596424253
NA	NA	NA	18.8997109440384	21.7581678995973	20.6195250633687	20.4965807502224	NA	20.6610125761578	18.9938560987186	NA	NA	20.1257817256354	NA	22.1605103645445	NA	22.8970204187508
ENSG00000100911	NA	22.9672276663097	22.8407464269825	NA	NA	NA	22.2616966780437	NA	NA	23.328413066264	NA	23.660577439662	22.0740800352405	NA	21.9809902356583	NA
ENSG00000108591	18.921928081775	18.2017027722243	16.713037398929	17.2984027183156	NA	NA	18.1390116796907	NA	19.0907068711805	17.9279862416982	18.1789857340547	18.1174097483459	NA	NA	NA	NA
ENSG00000133226	22.1876432449581	21.5034395051797	21.9267636156435	21.2645342319101	22.3903705109132	21.4447055459621	NA	NA	NA	21.2888953551866	21.0813481999001	21.935710366582	21.3663969257441	21.5353551224475	21.4764990105045	20.8116663190461
NA	NA	NA	NA	21.1245832905123	NA	NA	20.3552005210385	NA	NA	20.6830322904897	20.6632731727189	20.570893358495	19.7887055897795	18.1994998183728	18.6957788230247	17.6781737152495
NA	NA	24.0915206140571	NA	24.1217093006887	23.426112186025	NA	23.1520687893219	21.875339900292	NA	NA	24.3858102773883	24.2671375748809	23.3903442684044	23.6585087471241	23.3976735885581	NA
NA	NA	22.562393367954	22.2333610465236	22.4935300604932	NA	21.9928954745496	21.3889527319094	NA	23.2955806228828	23.4024958267993	NA	NA	22.7235076339195	22.4765978929611	22.7591437375518	22.4356041386112
NA	20.8831563641389	NA	NA	19.8165493348788	20.6423584756348	18.5353741088994	20.5056216233659	NA	21.5951409047417	21.0845307361149	21.5719581293791	21.5462784134394	20.6565680139374	NA	NA	NA
ENSG00000145945	20.8831563641389	NA	NA	19.8165493348788	NA	18.5353741088994	20.5056216233659	NA	21.5951409047417	NA	NA	NA	20.6565680139374	20.7985160999078	NA	21.0244525350027
NA	21.1663151210685	NA	NA	19.4892286249161	NA	NA	19.470106732954	19.53552599152	20.324435485555	20.3650622091711	NA	NA	18.1893516374584	19.4944728021173	18.8066880649301	20.150411720526
ENSG00000100300	NA	NA	17.8177831217745	20.1402106783393	NA	NA	19.0737336396751	21.2249390535289	17.9033640843417	18.0841024768805	NA	NA	NA	18.30621303057	NA	NA
ENSG00000101843	23.1064862645638	22.9284634357703	23.0879328236243	NA	22.7347129274565	21.0350997792022	NA	NA	22.786082934732	22.2163787918544	NA	22.7767374280559	NA	22.1368985182929	NA	22.8110390944111
NA	NA	18.714983314723	NA	19.1733843519207	18.0355294084611	19.5227692422566	17.8476935737093	NA	18.3819062153156	NA	NA	17.8054290038554	NA	NA	18.6983926784474	NA
NA	22.0661181037886	NA	21.704256595372	21.9138959555237	NA	21.391314923455	21.4733807388531	NA	NA	NA	22.4409603872945	22.1578921263727	21.3509995917556	21.6466712053818	21.3124642173603	21.293393063645
NA	NA	19.2423740003873	NA	NA	NA	18.8727049361042	19.1248482934726	18.4050749657041	19.9400554582897	NA	19.0065397579578	18.4734996537247	18.507810122334	18.0552082819178	18.4781297050094	NA
NA	23.3147890026898	23.3574306552678	23.5408507492407	NA	23.0752395282695	NA	23.2905273951565	NA	NA	23.1019263143705	NA	NA	23.4110578403027	NA	23.4141587443249	23.4006730911925
NA	25.6989585313899	25.5523895452657	25.5966770486748	25.7429368401374	25.5725364797741	25.5552598816777	25.2479315686078	25.2686016780914	26.3329771812815	NA	26.3913116453142	26.3664803045442	25.7765316267098	25.6506150732541	25.7506746870624	NA
ENSG00000153914	NA	NA	18.8926436063604	18.413363481211	NA	NA	17.6335345170925	18.9161360466964	18.9726152531625	18.9601377215209	NA	18.4576373809918	NA	17.1349075661388	18.4200013124987	17.4195487668202
ENSG00000196591	NA	20.4136940334042	NA	19.8548927265862	NA	20.0892590829062	NA	NA	23.1068536328137	23.0141860112503	22.5863936035805	NA	22.4269823278131	21.8280341855136	NA	NA
ENSG00000175445	NA	NA	NA	21.1115254167293	NA	21.4145716950711	19.3392802498837	21.5798499246849	NA	NA	NA	21.5612282692516	20.7862823920937	NA	NA	20.6247990249043
ENSG00000175390	NA	23.7350022807886	NA	23.7786635095847	22.9788451972157	22.7641143204426	22.7012768455191	22.3121872075016	23.8506225635792	23.6952988188404	23.6719565017925	NA	23.6105418771783	22.8582132597565	NA	NA
ENSG00000122406	25.6346692689283	26.1111194285123	26.1629241712642	26.362840506311	25.9655200951223	25.8076925581963	25.8627552009478	NA	26.3662801873277	26.2521796039866	26.6729007181122	26.6379609789943	NA	26.1763224621585	26.3391932448908	NA
NA	21.2079461220978	21.4941407147308	NA	NA	NA	NA	NA	NA	21.8540328539419	21.8128024691187	NA	NA	NA	NA	22.2475115089044	NA
ENSG00000125835	21.5481615203028	22.40553726724	22.4758066434759	22.2513020994573	22.2270858996639	22.1145468353107	NA	21.152517573791	NA	NA	NA	23.0628452492533	23.3995001153505	NA	23.2540736268431	22.3928613750518
NA	20.1516508299734	20.6158487198723	20.5666263990494	NA	19.1124802326927	20.577546844727	19.4746288564179	18.3523365986604	NA	NA	NA	NA	NA	18.4720720279493	18.9259310583588	18.9159902182865
ENSG00000151552	NA	19.0725042445935	NA	19.9417755121934	19.9889841817514	18.1461410381593	NA	NA	20.794872728667	19.7246237617037	NA	20.4042642818425	NA	19.5314766520971	19.4864815305422	NA
NA	18.0820762559523	18.4310241585945	17.6859943351928	NA	17.8212134338871	NA	19.161500975123	18.5050594374533	NA	19.8890969121774	NA	20.3200336666073	NA	NA	19.3806174816038	18.3276403539053
ENSG00000196975	NA	NA	20.2237613432261	20.0037429862485	20.1090399337691	18.5186454725889	NA	NA	NA	19.5534680555768	20.3479759782877	20.6472862585466	19.4021835213449	19.8730505331932	NA	20.3544474082815
ENSG00000072958	20.5165310700453	NA	20.6810599309267	NA	NA	20.2331562159274	NA	19.7991804188253	20.7389234913818	NA	NA	20.5479262663209	20.1274200778998	20.2652212840896	20.1518985242037	NA
ENSG00000156471	NA	NA	NA	NA	19.0770764775132	19.4875417438724	NA	19.8512823881884	18.4445539041379	18.6555027723455	NA	18.1656529011865	NA	17.7460287574384	18.6304093395314	17.871592453029
ENSG00000073050	18.3696058655695	NA	NA	17.7955070197481	18.2077674343564	18.1573370657538	17.1538290810838	17.7700444002968	18.2403255108926	19.0348849165849	18.2642593193979	19.0140259205247	18.3731370358021	NA	NA	NA
ENSG00000115806	NA	20.3246552243477	NA	19.283242123268	19.6219230833891	NA	NA	NA	21.7777609790324	21.5206608792601	NA	NA	NA	19.6476375998064	19.5399614989431	19.8587672041514
NA	18.6949291492538	18.6506030222153	NA	NA	NA	NA	18.4051165269584	18.6620215876711	NA	17.9055397849523	NA	17.4508890457431	18.9028932308647	NA	NA	18.0071696541482
ENSG00000140939	NA	20.2020377096348	NA	NA	19.3642714746811	18.9977197728031	19.9285212667519	17.620706675843	20.3030716745286	19.6274376996973	20.2423740003873	20.1348323820453	NA	19.3748569441413	17.853370478739	19.9838453347765
NA	21.9674035897117	NA	22.2829424822774	22.6013210365799	21.4632369806393	21.324435485555	21.715486141928	NA	NA	22.0847577917117	22.5330273899415	NA	NA	NA	21.6472862585466	21.5101209023032
NA	21.9674035897117	21.9049594290191	22.2829424822774	22.6013210365799	NA	NA	NA	NA	NA	22.0847577917117	NA	22.3443500946627	NA	20.8370735124738	NA	21.5101209023032
ENSG00000131269	18.6552581796548	NA	18.5432508790894	NA	18.554236588206	NA	17.6542444250866	19.156892863449	NA	NA	19.0763458933056	NA	19.2562409438434	18.9088558207803	18.4736185587955	19.4014962112797
ENSG00000168036	22.8510612089388	22.690362085613	NA	21.9516617906313	22.1511862886389	NA	NA	20.6758157933708	22.7372943875254	NA	22.332270432212	22.3342634634791	22.1626629985471	NA	NA	19.8376279331714
ENSG00000138279	22.7357667210639	22.8485419503693	22.5104348440279	23.3308764050085	23.0322603400591	22.1368985182929	21.6679569700276	19.309791624712	NA	22.7704598446498	NA	22.5701521845558	22.477709853842	NA	NA	22.8727124499648
ENSG00000198959	22.0876738991071	22.0070327435867	NA	22.0496292256958	NA	NA	20.4593395580775	19.3965295273683	NA	21.285738595349	21.8183918176482	22.1144515187853	20.7981996500182	NA	20.4859118349869	NA
ENSG00000079459	NA	NA	NA	NA	NA	NA	20.2494514521536	NA	20.1707221691685	20.060917536535	NA	NA	18.9133335625306	NA	NA	NA
ENSG00000100028	NA	25.2229142697206	25.7158631473559	25.3187587595751	25.1866538069023	25.2600819416614	25.5819310475241	25.3775269644507	NA	24.5150274794549	24.848188520721	24.7644585834889	24.9637575940896	NA	24.8937936666838	NA
NA	NA	NA	24.4505442547048	NA	NA	NA	24.5844565537111	24.6741676944153	24.4887335533014	24.0123114958142	24.2289801158461	NA	24.9706630849775	24.2770359138003	24.4841300850347	24.2982404854359
NA	NA	27.0654813835632	27.3854976299722	NA	26.9688409595704	26.7548084134552	NA	26.46489830163	27.2568290449117	27.1113781596983	NA	27.1092870804864	NA	26.547249697357	NA	26.1106615596385
ENSG00000112984	20.8345296879068	NA	NA	NA	17.5171464886495	17.8645368108269	NA	17.4873062082335	NA	NA	19.236453378432	18.7335714827564	NA	17.1893999018494	NA	NA
ENSG00000004897	NA	22.8054014496096	23.3885061055627	22.2812169225675	21.2858514557919	23.1004672893496	22.9075288540027	NA	23.8998436795629	23.5352839210274	24.3444855526263	23.7141868130603	22.2667373662199	21.6945126263587	NA	21.9388358448156
ENSG00000262814	23.6310091526965	23.8388438323236	23.6758373246865	23.7516453904217	NA	NA	23.5011811769739	NA	23.2168080134097	NA	22.7967153651891	NA	23.2178435396104	23.1536311941017	NA	NA
ENSG00000125503	19.9434935178039	18.9673050752495	NA	19.6447188719451	NA	NA	17.1345065390227	NA	17.7442557188619	NA	17.7025920754282	17.6594803132495	NA	18.5225585445557	17.4373782181707	NA
NA	20.9824533093493	20.31528668396	20.3247650811946	NA	19.7152850320757	17.9034229302227	NA	18.0995943757681	NA	NA	19.9867642235663	20.5963244491574	19.478228475765	19.9116523807228	NA	20.2199861966359
NA	21.1891826993737	NA	20.9539718944089	21.8466304881138	21.2521687738506	20.0112709410216	NA	NA	21.0671691041836	20.441821622179	21.0645401662034	20.4074835415024	NA	NA	19.2594398510249	19.8854074193685
ENSG00000023734	NA	25.2115597952281	25.1289622090662	25.2751540524856	24.9211617542629	24.728633441732	NA	NA	24.9419903748107	24.5381884583194	NA	24.8276466247212	24.6945551342048	24.4324980633108	24.3395330783649	NA
