Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000004961	20.2864720304598	20.8071913818567	19.6952520842384	20.2987159439821	18.9024222236647	20.3723081999391	18.8881605556135	18.0446822709638	20.4824692339717	20.1027753967423	19.4749060693006	20.0408622583471	19.4870510012232	18.5692993635294	19.4706827027327	19.1843475208524
ENSG00000155380	21.4112130439004	21.5343104826066	21.7141868130603	21.6800727390417	21.5099276734342	21.1652726005371	21.7438203345966	21.4030682112706	21.3115775985249	21.0296511983788	21.5974615577183	21.5618808404421	20.8393052978486	19.6865757567782	20.0720854879798	20.8521667662534
ENSG00000113387	25.1120745131189	25.7447084202146	25.5555231979167	25.6834339353779	25.2357510247459	24.7921341493822	24.2421995265548	24.2005268852578	25.9111138056084	25.689311916526	25.9214795935103	25.6247488344116	25.5347794770091	25.0641454119942	25.2519810385758	25.2313627066199
ENSG00000113643	24.5980979472482	24.4812377400507	24.8141627129405	24.7480658808102	24.5789406473572	24.4169309890281	24.5396089581667	24.2841858682827	24.7848656473114	24.5703954242295	24.7695118112152	24.6837284039126	24.6093586705408	24.3579004245607	24.7106181221616	24.6947145274736
ENSG00000134684	24.9364743988017	25.1435152516954	25.0841170787204	25.1211559533606	24.9983896879859	25.0316631789166	25.079200896148	24.3689294903319	25.0919644271194	24.8577578036876	25.2326806041835	25.089865197879	24.6443844237615	24.8999358498259	24.749703330135	24.9290416412951
ENSG00000179262	18.0171563863831	19.54815211088	18.9775706158687	19.1364354601937	19.032250249248	18.1485758832101	18.2337413690649	NA	20.7187502539277	19.912909797025	20.0306617485433	19.4194664705343	NA	17.9624554860396	19.0108067138861	16.6575975818335
ENSG00000119318	22.8073486323927	23.2451191836466	22.8030771267942	23.1051757550813	23.105511486776	22.1177204546658	23.2259099412992	22.5099276734342	23.5037306450383	22.8352239031937	23.1124484156729	22.9959168626821	22.3734238296178	21.9736525279954	21.8000973090105	22.1052077328948
ENSG00000059573	23.8706070389563	24.2011254207809	23.8080364020305	23.9906642215464	23.8323870854493	23.9060978818081	24.2782418544087	24.7094616531291	23.8395167535609	23.9544689714343	23.9328303755252	23.9547351922637	24.3896880504987	24.1217883329843	24.399891213272	23.9321996103744
ENSG00000105402	23.7655718132064	23.7643573381792	23.8016373211066	23.8148961251066	23.3466511521186	23.0955180733779	23.3207223367435	23.104296087337	23.6022956238236	23.4181542394652	23.655236339005	23.416480056235	23.0518375556578	22.735084942511	23.0905841240871	23.1679387256346
ENSG00000125814	23.7655718132064	23.7643573381792	23.8016373211066	23.8148961251066	23.3466511521186	23.0955180733779	23.3207223367435	23.104296087337	23.6022956238236	23.4181542394652	23.655236339005	23.416480056235	23.0518375556578	22.735084942511	23.0905841240871	23.1679387256346
